Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
29;5.80012305435852;1,543;0;8.256162;105,465;105,465;0;0;2,275;1.001214;6.857143;224.957415;37,551;67,914;105,465;0;0;0;0.0001199000421498228;0.0001355090565469364;9.107065;19.001781;0.238075;105,593;15,600
32;6.400069386539291;1,527;0;8.213763;105,465;105,465;0;0;2,600;1.001214;6.000000;236.534416;37,551;67,914;105,465;0;0;0;0.0001238214196230391;0.0001369525187807681;9.107065;19.001781;0.238075;105,593;15,600
30;6.00001670232541;1,487;0;7.987972;105,465;105,465;0;0;1,950;1.001214;8.000000;232.947418;37,551;67,914;105,465;0;0;0;0.0001307214692373571;0.0001363452367362216;9.107065;19.001781;0.238075;105,593;15,600
33;6.600099024638973;1,494;0;7.978948;105,465;105,465;0;0;1,950;1.001214;8.000000;244.515375;37,551;67,914;105,465;0;0;0;0.0001259512438887301;0.0001367506313339614;9.107065;19.001781;0.238075;105,593;15,600
31;6.200054900763398;1,482;0;7.909114;105,465;105,465;0;0;1,625;1.001214;9.600000;240.858534;37,551;67,914;105,465;0;0;0;0.0001331487376724526;0.0001370774073073901;9.107065;19.001781;0.238075;105,593;15,600
34;6.800064558537452;1,479;0;7.905842;105,465;105,465;0;0;1,950;1.001214;8.000000;252.422787;37,551;67,914;105,465;0;0;0;0.0001331912385966005;0.0001374818566449251;9.107065;19.001781;0.238075;105,593;15,600
32;6.400069386539291;1,527;0;8.180264;105,465;105,465;0;0;2,600;1.001214;6.000000;249.040683;37,551;67,914;105,465;0;0;0;0.0001238214196230391;0.0001369525187807681;9.107065;19.001781;0.238075;105,593;15,600
35;7.000017745227766;1,518;0;8.153068;105,465;105,465;0;0;2,366;1.001214;6.593407;260.577813;37,551;67,914;105,465;0;0;0;0.0001209782036887187;0.0001362729790170841;9.107065;19.001781;0.238075;105,593;15,600
33;6.600099024638973;1,494;0;8.011635;105,465;105,465;0;0;1,950;1.001214;8.000000;257.054540;37,551;67,914;105,465;0;0;0;0.0001259512438887301;0.0001367506313339614;9.107065;19.001781;0.238075;105,593;15,600
36;7.200054122181746;1,519;0;8.133231;105,465;105,465;0;0;1,950;1.001214;8.000000;268.712793;37,551;67,914;105,465;0;0;0;0.0001231174650719383;0.0001362873348723561;9.107065;19.001781;0.238075;105,593;15,600
34;6.800064558537452;1,479;0;7.916495;105,465;105,465;0;0;1,950;1.001214;8.000000;264.972835;37,551;67,914;105,465;0;0;0;0.0001331912385966005;0.0001374818566449251;9.107065;19.001781;0.238075;105,593;15,600
